Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,Lat,Long,LocAccuracy,Course,Speed,Altitude
462463528.105804,-0.323578,-0.267059,-0.693481,-0.459137,0.306835,0.295101,-0.422476,-0.302043,-0.854567,0.078588,0.023204,0.156966,0.118972,-0.146505,-1.172103,322.437164,323.533875,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463528.139048,-0.338455,-0.271042,-0.727066,-0.452041,0.324262,0.263824,-0.414039,-0.318609,-0.852678,0.075583,0.047567,0.125612,0.007138,0.097020,-0.494607,323.360382,324.457092,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463528.172287,-0.149063,-0.449722,-0.692734,-0.438655,0.336351,0.242792,-0.400923,-0.330045,-0.854594,0.325514,-0.089816,0.152308,0.148339,0.363728,-0.978097,325.144531,326.241241,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.205686,-0.210632,-0.443222,-0.734787,-0.416797,0.347293,0.220744,-0.380664,-0.340354,-0.859799,0.170032,-0.102868,0.125012,-0.067732,0.425019,-0.272741,327.207245,328.303955,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.238970,-0.047379,-0.481323,-0.838882,-0.400254,0.348025,0.223085,-0.366292,-0.341042,-0.865749,0.151555,-0.048943,0.055416,0.169742,0.598534,0.010392,328.183289,329.279999,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.272312,-0.211502,-0.470383,-0.974487,-0.383568,0.349288,0.218267,-0.351634,-0.342229,-0.871340,0.266581,-0.218592,-0.034743,-0.298687,0.314404,-0.045258,328.356995,329.453705,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.305641,-0.050720,-0.508209,-1.042755,-0.370615,0.340037,0.227939,-0.341451,-0.333522,-0.878735,0.073933,-0.067769,-0.174534,0.124644,0.892487,0.539052,328.267395,329.364105,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.338578,0.056870,-0.602493,-1.153046,-0.331544,0.337520,0.242687,-0.307138,-0.331148,-0.892192,0.336115,-0.253859,-0.188984,-0.126357,1.386282,0.412650,326.924469,328.021179,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.372310,-0.026840,-0.419617,-1.168945,-0.317698,0.331269,0.250288,-0.295397,-0.325243,-0.898308,0.319445,-0.209547,-0.284965,-0.237783,0.800075,0.620165,326.329285,327.425995,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.405640,-0.152100,-0.312668,-1.169769,-0.330699,0.312576,0.265804,-0.308971,-0.307510,-0.899986,0.318324,-0.119888,-0.271019,-0.493128,-0.605642,0.088088,324.630371,325.727081,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.438992,-0.209351,-0.308640,-1.124207,-0.331986,0.303263,0.264898,-0.311048,-0.298636,-0.902256,0.107206,0.000784,-0.236676,0.012987,0.476682,0.039690,322.178101,323.274811,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.472377,-0.134567,-0.361649,-1.142548,-0.303712,0.318733,0.267212,-0.284002,-0.313364,-0.906171,0.190359,-0.059714,-0.200335,0.720570,1.019586,-0.187237,321.838196,322.934906,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
