Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ
461772064.005575,0.059402,-0.139832,-0.949951,-0.022776,0.254404,-2.298962,0.075492,0.116735,0.015918,-0.222813,0.180231,0.759577,317.426239,318.520782,10.000000,22.036793,17.194801,-39.383499
461772064.038542,0.076675,-0.182159,-0.956360,-0.026399,0.248153,-2.273143,0.095137,0.084344,0.008657,-0.126267,0.042669,0.819027,316.784668,317.879211,10.000000,22.312073,16.851952,-39.052078
461772064.072264,0.066269,-0.230469,-0.877533,-0.030839,0.247207,-2.243939,0.105672,0.056907,0.029335,0.117100,0.089920,0.908258,314.646301,315.740845,10.000000,22.897053,15.789116,-38.820084
461772064.105621,0.054001,-0.251740,-0.875381,-0.035370,0.251323,-2.214258,0.100521,0.018217,0.090445,0.155652,0.068618,0.859963,312.257751,313.352295,10.000000,23.654079,14.829124,-39.085224
461772064.138925,0.080139,-0.267288,-0.836472,-0.038019,0.255583,-2.187437,0.098481,-0.012434,0.089696,0.163715,0.198069,0.750153,311.360413,312.454956,10.000000,23.998184,14.554832,-39.284081
461772064.172176,0.079834,-0.260986,-0.880676,-0.036585,0.256301,-2.164753,0.119610,-0.017049,0.123303,-0.066146,0.202154,0.633673,310.866180,311.960724,10.000000,24.686394,13.526314,-39.018936
461772064.205839,0.081802,-0.252075,-0.893997,-0.033769,0.251793,-2.134380,0.115385,-0.009603,0.075108,-0.025106,0.254763,0.637121,309.550842,310.645386,10.000000,24.617573,12.360634,-38.157234
461772064.239047,0.082809,-0.253021,-0.958557,-0.026873,0.249634,-2.113914,0.115545,-0.000982,0.029429,-0.085257,0.342040,0.612610,308.945312,310.039856,10.000000,24.617573,12.086357,-37.892094
461772064.271662,0.103973,-0.235748,-1.089890,-0.020611,0.247111,-2.094603,0.103220,-0.005106,-0.044392,-0.014382,0.358616,0.560526,308.580475,309.675018,10.000000,24.514343,12.120628,-37.858955
461772064.305598,0.108902,-0.254364,-1.102951,-0.016075,0.248023,-2.085849,0.119555,0.009739,-0.120615,0.130169,0.361471,0.528660,307.685303,308.779846,10.000000,25.787529,12.223488,-38.090950
461772064.338920,0.097641,-0.321320,-1.029968,-0.008789,0.257559,-2.061115,0.098358,-0.081308,-0.053241,0.159112,0.162179,0.464986,307.003967,308.098511,10.000000,26.097225,11.914925,-37.792667
461772064.372319,0.104370,-0.189117,-1.115128,-0.006101,0.260309,-2.048128,0.107275,-0.011435,-0.060761,-0.116542,0.064814,0.383325,306.569977,307.664520,10.000000,26.578972,10.474937,-37.461239
461772064.405775,0.081604,-0.065613,-1.242523,-0.005467,0.254730,-2.042141,0.109233,0.017396,-0.085597,-0.469839,0.173002,0.350266,305.166443,306.260986,10.000000,26.406918,10.097801,-36.897820
461772064.439082,0.081070,0.077942,-1.245850,0.001569,0.220391,-2.022696,0.075907,0.242186,-0.289417,-0.565975,0.454170,0.518754,304.919067,306.013611,10.000000,26.406918,10.234932,-36.831535
461772064.471882,0.045898,-0.060577,-1.012985,0.018466,0.210977,-2.003427,0.024013,0.224094,-0.138703,-0.107221,0.627966,0.587631,303.877930,304.972473,10.000000,26.819843,10.509224,-36.102402
461772064.505843,0.075974,-0.131912,-0.922272,0.026654,0.217190,-1.985726,0.038627,0.113375,-0.000052,0.378750,0.200872,0.538259,301.840118,302.934662,10.000000,27.611282,9.857811,-35.472694
461772064.538918,0.059708,-0.157440,-0.892990,0.026262,0.229927,-1.967311,0.055639,0.056245,0.078541,0.293119,0.082454,0.581486,300.176758,301.271301,10.000000,28.161850,8.897827,-35.605267
461772064.571472,0.012878,-0.122101,-0.888885,0.018465,0.232735,-1.947361,0.020364,0.075183,0.093677,-0.093987,-0.199147,0.606955,300.285980,301.380524,10.000000,27.886570,8.829254,-35.538982
461772064.605633,0.011597,-0.104309,-0.950821,0.007080,0.224809,-1.927201,0.000666,0.112981,0.054082,-0.309766,-0.184660,0.608821,300.029755,301.124298,10.000000,27.542465,8.075005,-35.737839
461772064.638629,0.005753,-0.119217,-1.006561,-0.001854,0.211330,-1.906703,0.008130,0.104123,-0.010820,-0.241208,-0.135736,0.636916,298.538574,299.633118,10.000000,27.404823,7.457878,-35.538986
461772064.672461,0.019073,-0.166428,-0.964493,-0.009381,0.205904,-1.886416,0.021695,0.069884,-0.018984,-0.109315,-0.078930,0.586117,297.200073,298.294617,10.000000,27.301594,6.737900,-35.439560
461772064.706513,0.017670,-0.223831,-0.882706,-0.013373,0.201349,-1.868907,0.032176,0.033563,0.015217,0.038777,-0.030831,0.528204,296.403595,297.498138,10.000000,27.232769,6.737900,-35.704697
461772064.739040,0.033356,-0.253708,-0.876541,-0.014748,0.204078,-1.851543,0.032111,-0.021166,0.096436,0.069796,0.056250,0.543433,294.714142,295.808685,10.000000,27.198360,6.223625,-35.605270
461772064.772399,0.033081,-0.230789,-0.908890,-0.015465,0.204993,-1.834102,0.046604,-0.050010,0.096056,-0.069831,-0.000933,0.517315,294.571472,295.666016,10.000000,27.301594,6.257912,-35.505840
461772064.805681,0.032166,-0.205933,-0.912048,-0.022861,0.202889,-1.818045,0.055472,-0.029289,0.070343,-0.020878,-0.187903,0.479291,292.738037,293.832581,10.000000,27.267181,4.989365,-35.141273
